Title,Edition,Platform,Format,Type,UPC
Absolver,,PS4,Blu-ray Disc,game,
Alan Wake II,Deluxe Edition,PS5,Ultra-HD Blu-ray,game,810136672091
Alien: Isolation,Nostromo Edition,PS4,Blu-ray Disc,game,010086632002
Among Us,Crewmate Edition,PS5,Ultra-HD Blu-ray,game,814290017347
Armored Core VI: Fires of Rubicon,,PS5,Ultra-HD Blu-ray,game,722674130158
Art of Rally,,PS5,Ultra-HD Blu-ray,game,860006405182
Astro Bot,,PS5,Ultra-HD Blu-ray,game,717719588948
Back 4 Blood,,PS5,Ultra-HD Blu-ray,game,883929739875
Balatro,Special Edition,PS5,Ultra-HD Blu-ray,game,810136671766
Call of Duty: Black Ops III,,PS4,Blu-ray Disc,game,047875874589
Chicory: A Colorful Tale,Limited Run #125,PS5,Ultra-HD Blu-ray,game,810148578367
Cocoon,,PS5,Ultra-HD Blu-ray,game,810136671902
Coffee Talk,Single Shot Edition,PS5,Ultra-HD Blu-ray,game,810109940417
Control,Ultimate Edition,PS5,Ultra-HD Blu-ray,game,812872012261
Crisis Core: Final Fantasy VII Reunion,,PS5,Ultra-HD Blu-ray,game,662248926780
Dark Souls III,The Fire Fades Edition,PS4,Blu-ray Disc,game,722674121408
Dead Space Remake,,PS5,Ultra-HD Blu-ray,game,014633381078
Death's Door,,PS5,Ultra-HD Blu-ray,game,812303017803
Demon's Souls,,PS3,Blu-ray Disc,game,730865001323
Demon's Souls Remake,,PS5,Ultra-HD Blu-ray,game,711719541271
Destiny,,PS4,Blu-ray Disc,game,047875846913
Dragon Age II,,PS3,Blu-ray Disc,game,014633365368
Dragon Age: Inquisition,,PS4,Blu-ray Disc,game,014633367621
Dragon Age: Origins,Ultimate Edition,PS3,Blu-ray Disc,game,014633195248
Dragon Age: The Veilguard,Deluxe Edition,PS5,Blu-ray Disc,game,014633749069
EA Sports FC 25,,PS5,Ultra-HD Blu-ray,game,014633382907
EA Sports FIFA 22,,PS4,Blu-ray Disc,game,014633376746
EA Sports NHL 25,,PS5,Ultra-HD Blu-ray,game,014633384932
EA Sports WRC,,PS5,Ultra-HD Blu-ray,game,014633383423
Final Fantasy VII Remake Intergrade,,PS5,Ultra-HD Blu-ray,game,662248924878
Fort Solis,,PS5,Ultra-HD Blu-ray,game,819335021921
God of War,,PS4,Blu-ray Disc,game,711719506096
God of War Ragnarok,,PS5,Ultra-HD Blu-ray,game,711719546832
Hades,,PS5,Ultra-HD Blu-ray,game,710425577895
Hollow Knight,,PS4,Blu-ray Disc,game,850055007635
Horizon Zero Dawn,,PS4,Blu-ray Disc,game,711719503491
Ico Remastered,,PS3,Blu-ray Disc,game,711719825920
Immortals of Aveum,,PS5,Ultra-HD Blu-ray,game,014633383676
In Stars and Time,Limited Run #127,PS5,Ultra-HD Blu-ray,game,810148578381
It Takes Two,,PS4,Blu-ray Disc,game,014633746280
Judgment,,PS5,Ultra-HD Blu-ray,game,011086632705
Life is Strange: True Colors,,PS5,Ultra-HD Blu-ray,game,662248925080
Like a Dragon: Ishin!,,PS5,Ultra-HD Blu-ray,game,010086632989
Lost Judgment,,PS5,Ultra-HD Blu-ray,game,010086632712
Mass Effect Legendary Edition,,PS4,Blu-ray Disc,game,014633742831
Mass Effect: Andromeda,Deluxe Edition,PS4,Blu-ray Disc,game,014633371260
Neon White,,PS5,Ultra-HD Blu-ray,game,811949036193
Neva,,PS5,Ultra-HD Blu-ray,game,810136672275
NieR: Automata,Game of the YoRHa Edition,PS4,Blu-ray Disc,game,662248922232
Nioh 2 Remastered,Complete Edition,PS5,Ultra-HD Blu-ray,game,711719545903
Nioh Remastered,Complete Edition,PS5,Ultra-HD Blu-ray,game,711719545903
Persona 5 Strikers,,PS4,Blu-ray Disc,game,010086220346
Sekiro: Shadows Die Twice,,PS4,Blu-ray Disc,game,047875882935
Shadow of the Colossus Remastered,,PS3,Blu-ray Disc,game,711719825920
Split Fiction,,PS5,Ultra-HD Blu-ray,game,014633385151
Star Wars Jedi: Survivor,Deluxe Edition,PS5,Ultra-HD Blu-ray,game,014633748611
The Elder Scrolls Online,Imperial Edition,PS4,Blu-ray Disc,game,571650480578
The Elder Scrolls V: Skyrim,Special Edition,PS4,Blu-ray Disc,game,093155171275
The Invincible,,PS5,Ultra-HD Blu-ray,game,819335021976
The Last Guardian,,PS4,Blu-ray Disc,game,711719503415
The Last of Us Part I,,PS5,Ultra-HD Blu-ray,game,711719553410
The Last of Us Part II,,PS4,Blu-ray Disc,game,711719519027
The Last of Us Remastered,,PS4,Blu-ray Disc,game,711719051800
The Pathless,,PS5,Ultra-HD Blu-ray,game,850021640187
The Stanley Parable Ultra Deluxe,,PS5,Ultra-HD Blu-ray,game,810136671476
Uncharted 2: Among Thieves Remastered,,PS4,Blu-ray Disc,game,711719501374
Uncharted 3: Drake's Deception Remastered,,PS4,Blu-ray Disc,game,711719501374
Uncharted 4: A Thief's End Remastered,,PS5,Ultra-HD Blu-ray,game,711719546825
Uncharted: Drake's Fortune Remastered,,PS4,Blu-ray Disc,game,711719501374
Uncharted: The Lost Legacy Remastered,,PS5,Ultra-HD Blu-ray,game,711719546825
Wild Hearts,,PS5,Ultra-HD Blu-ray,game,014633748048
Wizardry: Proving Grounds of the Mad Overlord,,PS5,Ultra-HD Blu-ray,game,810174080100
Yakuza: Like a Dragon,,PS5,Ultra-HD Blu-ray,game,010086632699
